
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.588030E+00 -1.595307E-11 -7.976660E-11
        66  1.588030E+00  1.595318E-11 -7.976490E-11
        67  1.588030E+00  1.595322E-11  7.976571E-11
        68  1.588030E+00 -1.595317E-11  7.976628E-11

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-02  4.825626E-04  9.651252E-05
        66  1.000000E-02 -4.825626E-04  9.651252E-05
        67  1.000000E-02 -4.825626E-04 -9.651252E-05
        68  1.000000E-02  4.825626E-04 -9.651252E-05

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

         7   4  1.270905E+00  1.321113E-05 -4.352149E-06 -1.606102E-05 -7.540668E-07  2.665778E-14
         7   5  1.270924E+00  4.865781E-05  1.130482E-05  1.606102E-05  7.540668E-07  2.659644E-14
         7   6  1.270905E+00  1.321113E-05 -4.352149E-06  1.606102E-05  7.540668E-07  2.659606E-14
         7   7  1.270924E+00  4.865781E-05  1.130482E-05 -1.606102E-05  7.540668E-07 -2.657497E-14
         7   8  1.270905E+00  1.321113E-05 -4.352149E-06 -1.606102E-05  7.540668E-07 -2.670953E-14
         8   1  1.270916E+00  9.838572E-06  1.257499E-06  3.453620E-06 -2.613009E-07 -2.176374E-15
         8   2  1.270913E+00  2.999743E-06 -8.312008E-07  3.453620E-06 -2.613009E-07 -2.095486E-15
         8   3  1.270916E+00  9.838572E-06  1.257499E-06 -3.453620E-06 -2.613009E-07  1.945596E-15
         8   4  1.270913E+00  2.999743E-06 -8.312008E-07 -3.453620E-06 -2.613009E-07  1.998403E-15
         8   5  1.270916E+00  9.838572E-06  1.257499E-06  3.453620E-06  2.613009E-07  1.811040E-15
         8   6  1.270913E+00  2.999743E-06 -8.312008E-07  3.453620E-06  2.613009E-07  1.927962E-15
         8   7  1.270916E+00  9.838572E-06  1.257499E-06 -3.453620E-06  2.613009E-07 -1.979714E-15
         8   8  1.270913E+00  2.999743E-06 -8.312008E-07 -3.453620E-06  2.613009E-07 -1.910328E-15
         9   1  1.270915E+00  2.164403E-06  4.171720E-07  7.315941E-07 -4.261421E-08 -1.786797E-16
         9   2  1.270914E+00  6.150740E-07 -1.894752E-07  7.315941E-07 -4.261421E-08 -8.916717E-17
         9   3  1.270915E+00  2.164403E-06  4.171720E-07 -7.315941E-07 -4.261421E-08  1.192602E-16
         9   4  1.270914E+00  6.150740E-07 -1.894752E-07 -7.315941E-07 -4.261421E-08  1.876884E-16
         9   5  1.270915E+00  2.164403E-06  4.171720E-07  7.315941E-07  4.261421E-08 -2.027962E-17
         9   6  1.270914E+00  6.150740E-07 -1.894752E-07  7.315941E-07  4.261421E-08  1.595121E-16
         9   7  1.270915E+00  2.164403E-06  4.171720E-07 -7.315941E-07  4.261421E-08 -2.112232E-17
         9   8  1.270914E+00  6.150740E-07 -1.894752E-07 -7.315941E-07  4.261421E-08  1.188009E-16
        10   1  1.270914E+00  4.522697E-07  6.956094E-08  1.563950E-07 -1.077094E-08 -7.926596E-18
        10   2  1.270914E+00  1.341885E-07 -3.871201E-08  1.563950E-07 -1.077094E-08 -1.495749E-16
        10   3  1.270914E+00  4.522697E-07  6.956094E-08 -1.563950E-07 -1.077094E-08  1.225486E-16
        10   4  1.270914E+00  1.341885E-07 -3.871201E-08 -1.563950E-07 -1.077094E-08  3.230542E-18
        10   5  1.270914E+00  4.522697E-07  6.956094E-08  1.563950E-07  1.077094E-08  2.176327E-18
        10   6  1.270914E+00  1.341885E-07 -3.871201E-08  1.563950E-07  1.077094E-08 -1.492474E-16
        10   7  1.270914E+00  4.522697E-07  6.956094E-08 -1.563950E-07  1.077094E-08  1.542310E-16
        10   8  1.270914E+00  1.341885E-07 -3.871201E-08 -1.563950E-07  1.077094E-08 -6.393191E-18
        11   1  1.270914E+00  9.754011E-08  1.736865E-08  3.324804E-08 -2.075129E-09 -6.033809E-17
        11   2  1.270914E+00  2.822331E-08 -8.416081E-09  3.324804E-08 -2.075128E-09  3.454135E-17
        11   3  1.270914E+00  9.754011E-08  1.736865E-08 -3.324804E-08 -2.075128E-09 -5.965086E-17
        11   4  1.270914E+00  2.822331E-08 -8.416080E-09 -3.324804E-08 -2.075128E-09 -1.000687E-17
        11   5  1.270914E+00  9.754011E-08  1.736865E-08  3.324804E-08  2.075128E-09 -1.041196E-16
        11   6  1.270914E+00  2.822331E-08 -8.416080E-09  3.324804E-08  2.075129E-09  3.695367E-17
        11   7  1.270914E+00  9.754012E-08  1.736865E-08 -3.324804E-08  2.075129E-09 -4.308729E-17
        11   8  1.270914E+00  2.822331E-08 -8.416079E-09 -3.324804E-08  2.075128E-09 -7.052265E-18
        12   1  1.270914E+00  2.067068E-08  3.414912E-09  7.092104E-09 -4.705391E-10  9.199696E-17
        12   2  1.270914E+00  6.105159E-09 -1.725647E-09  7.092104E-09 -4.705369E-10 -1.222964E-16
        12   3  1.270914E+00  2.067068E-08  3.414913E-09 -7.092104E-09 -4.705397E-10 -1.839351E-17
        12   4  1.270914E+00  6.105160E-09 -1.725645E-09 -7.092104E-09 -4.705382E-10 -3.142746E-17
        12   5  1.270914E+00  2.067068E-08  3.414914E-09  7.092105E-09  4.705392E-10  6.747718E-17
        12   6  1.270914E+00  6.105161E-09 -1.725645E-09  7.092105E-09  4.705390E-10 -1.054143E-16
        12   7  1.270914E+00  2.067068E-08  3.414912E-09 -7.092104E-09  4.705373E-10 -2.914205E-17
        12   8  1.270914E+00  6.105159E-09 -1.725646E-09 -7.092104E-09  4.705385E-10 -1.077291E-16
        13   1  1.270914E+00  4.463139E-09  8.098557E-10  1.509676E-09 -9.654930E-11 -1.280397E-16
        13   2  1.270914E+00  1.334080E-09 -3.309638E-10  1.509675E-09 -9.655112E-11 -8.251669E-17
        13   3  1.270914E+00  4.463135E-09  8.098515E-10 -1.509675E-09 -9.655050E-11 -1.050379E-16
        13   4  1.270914E+00  1.334075E-09 -3.309694E-10 -1.509676E-09 -9.655030E-11 -1.586113E-16
        13   5  1.270914E+00  4.463138E-09  8.098545E-10  1.509675E-09  9.654992E-11 -1.196053E-16
        13   6  1.270914E+00  1.334078E-09 -3.309654E-10  1.509675E-09  9.654864E-11 -1.690576E-16
        13   7  1.270914E+00  4.463136E-09  8.098526E-10 -1.509676E-09  9.654853E-11 -1.073387E-16
        13   8  1.270914E+00  1.334074E-09 -3.309698E-10 -1.509676E-09  9.655069E-11 -2.346113E-16
        14   1  1.270914E+00  9.885784E-10  2.071819E-10  3.216340E-10 -2.103805E-11 -2.491785E-17
