
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.901255E+00 -1.441276E-11 -7.206241E-11
        66  1.901255E+00  1.441279E-11 -7.206391E-11
        67  1.901255E+00  1.441263E-11  7.206423E-11
        68  1.901255E+00 -1.441268E-11  7.206204E-11

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-02  4.561117E-04  9.122234E-05
        66  1.000000E-02 -4.561117E-04  9.122234E-05
        67  1.000000E-02 -4.561117E-04 -9.122234E-05
        68  1.000000E-02  4.561117E-04 -9.122234E-05

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

         7   4  1.521549E+00  1.583532E-05 -4.016087E-06 -1.834357E-05 -4.535437E-07  1.488443E-14
         7   5  1.521569E+00  5.476729E-05  1.434715E-05  1.834357E-05  4.535437E-07  1.507546E-14
         7   6  1.521549E+00  1.583532E-05 -4.016087E-06  1.834357E-05  4.535437E-07  1.493122E-14
         7   7  1.521569E+00  5.476729E-05  1.434715E-05 -1.834357E-05  4.535437E-07 -1.504932E-14
         7   8  1.521549E+00  1.583532E-05 -4.016087E-06 -1.834357E-05  4.535437E-07 -1.526358E-14
         8   1  1.521560E+00  1.051426E-05  3.036088E-07  3.980917E-06 -3.602698E-07 -2.666359E-15
         8   2  1.521558E+00  3.745042E-06 -6.952776E-07  3.980917E-06 -3.602697E-07 -2.495047E-15
         8   3  1.521560E+00  1.051426E-05  3.036088E-07 -3.980917E-06 -3.602698E-07  2.432030E-15
         8   4  1.521558E+00  3.745042E-06 -6.952776E-07 -3.980917E-06 -3.602698E-07  2.542076E-15
         8   5  1.521560E+00  1.051426E-05  3.036088E-07  3.980917E-06  3.602698E-07  2.523054E-15
         8   6  1.521558E+00  3.745042E-06 -6.952776E-07  3.980917E-06  3.602698E-07  2.587938E-15
         8   7  1.521560E+00  1.051426E-05  3.036088E-07 -3.980917E-06  3.602698E-07 -2.709771E-15
         8   8  1.521558E+00  3.745042E-06 -6.952776E-07 -3.980917E-06  3.602698E-07 -2.591206E-15
         9   1  1.521559E+00  2.422696E-06  4.718095E-07  8.419624E-07 -3.822017E-08  3.375501E-17
         9   2  1.521559E+00  7.473779E-07 -1.725783E-07  8.419624E-07 -3.822017E-08  2.290210E-17
         9   3  1.521559E+00  2.422696E-06  4.718095E-07 -8.419624E-07 -3.822017E-08  4.606643E-17
         9   4  1.521559E+00  7.473779E-07 -1.725783E-07 -8.419624E-07 -3.822017E-08  9.076177E-17
         9   5  1.521559E+00  2.422696E-06  4.718095E-07  8.419624E-07  3.822017E-08  1.048822E-16
         9   6  1.521559E+00  7.473779E-07 -1.725783E-07  8.419624E-07  3.822017E-08  2.192463E-16
         9   7  1.521559E+00  2.422696E-06  4.718095E-07 -8.419624E-07  3.822017E-08 -1.152381E-17
         9   8  1.521559E+00  7.473779E-07 -1.725783E-07 -8.419624E-07  3.822017E-08 -2.412719E-17
        10   1  1.521559E+00  4.920059E-07  4.095566E-08  1.812620E-07 -1.388003E-08  1.354871E-16
        10   2  1.521559E+00  1.675928E-07 -3.331290E-08  1.812620E-07 -1.388003E-08 -7.246872E-17
        10   3  1.521559E+00  4.920059E-07  4.095566E-08 -1.812620E-07 -1.388003E-08  2.508933E-17
        10   4  1.521559E+00  1.675928E-07 -3.331290E-08 -1.812620E-07 -1.388003E-08 -7.118653E-17
        10   5  1.521559E+00  4.920059E-07  4.095566E-08  1.812620E-07  1.388003E-08  1.035104E-16
        10   6  1.521559E+00  1.675928E-07 -3.331291E-08  1.812620E-07  1.388003E-08 -8.986492E-18
        10   7  1.521559E+00  4.920059E-07  4.095566E-08 -1.812620E-07  1.388002E-08  3.466005E-17
        10   8  1.521559E+00  1.675928E-07 -3.331290E-08 -1.812620E-07  1.388003E-08 -6.803420E-17
        11   1  1.521559E+00  1.089981E-07  1.761424E-08  3.854866E-08 -2.125518E-09 -1.548572E-18
        11   2  1.521559E+00  3.470465E-08 -7.604527E-09  3.854866E-08 -2.125516E-09  2.307471E-17
        11   3  1.521559E+00  1.089981E-07  1.761424E-08 -3.854866E-08 -2.125517E-09  1.508554E-17
        11   4  1.521559E+00  3.470464E-08 -7.604528E-09 -3.854866E-08 -2.125517E-09  1.229145E-16
        11   5  1.521559E+00  1.089981E-07  1.761424E-08  3.854866E-08  2.125517E-09  2.815572E-17
        11   6  1.521559E+00  3.470464E-08 -7.604530E-09  3.854866E-08  2.125519E-09  6.223154E-17
        11   7  1.521559E+00  1.089981E-07  1.761424E-08 -3.854866E-08  2.125518E-09 -1.881988E-17
        11   8  1.521559E+00  3.470464E-08 -7.604530E-09 -3.854866E-08  2.125516E-09  3.056006E-16
        12   1  1.521559E+00  2.277223E-08  2.501393E-09  8.267420E-09 -5.781517E-10 -5.742407E-17
        12   2  1.521559E+00  7.623307E-09 -1.512378E-09  8.267420E-09 -5.781551E-10 -3.055240E-16
        12   3  1.521559E+00  2.277223E-08  2.501394E-09 -8.267421E-09 -5.781542E-10  2.114654E-16
        12   4  1.521559E+00  7.623307E-09 -1.512377E-09 -8.267421E-09 -5.781518E-10 -4.468669E-17
        12   5  1.521559E+00  2.277222E-08  2.501391E-09  8.267421E-09  5.781542E-10  1.875813E-18
        12   6  1.521559E+00  7.623305E-09 -1.512380E-09  8.267421E-09  5.781510E-10 -1.960440E-16
        12   7  1.521559E+00  2.277223E-08  2.501393E-09 -8.267420E-09  5.781521E-10  3.043398E-16
        12   8  1.521559E+00  7.623305E-09 -1.512380E-09 -8.267420E-09  5.781543E-10  8.121317E-17
        13   1  1.521559E+00  4.985938E-09  7.622558E-10  1.762793E-09 -1.053258E-10 -3.533619E-16
        13   2  1.521559E+00  1.640713E-09 -2.982734E-10  1.762793E-09 -1.053252E-10 -2.177588E-16
        13   3  1.521559E+00  4.985938E-09  7.622563E-10 -1.762793E-09 -1.053257E-10 -8.448903E-17
        13   4  1.521559E+00  1.640713E-09 -2.982736E-10 -1.762793E-09 -1.053243E-10 -2.368936E-17
        13   5  1.521559E+00  4.985936E-09  7.622534E-10  1.762793E-09  1.053260E-10 -2.856764E-16
        13   6  1.521559E+00  1.640711E-09 -2.982759E-10  1.762793E-09  1.053252E-10 -1.535742E-16
