date_time,operator,reviewer,material,trial,command_rpm,pre_jam_rpm,trip_cutter_torque_Nm,overload_duration_ms,rpm_drop_percent,rpm_drop_duration_ms,reverse_start_ms,reverse_duration_ms,retry_count,jam_cleared,latched_fault_after_third_failure,guard_lockout_required_for_reset,motor_case_C,permanent_damage,photo_video_path,raw_log_path,pass_fail
,,,PLA,1,32,,18,,,,,,,,,,,,,,
,,,PLA,2,32,,18,,,,,,,,,,,,,,
,,,PLA,3,32,,18,,,,,,,,,,,,,,
,,,PET,1,24,,18,,,,,,,,,,,,,,
,,,PET,2,24,,18,,,,,,,,,,,,,,
,,,PET,3,24,,18,,,,,,,,,,,,,,
