material,profile_rpm,radial_clearance_mm,tip_leakage_relative_to_0_15,melt_delivery_factor,predicted_throughput_gph,change_from_0_15_percent,status
PLA,16,0.14,0.813,0.8912,100.7,1.27,VIRTUAL_SCREENING_EMPIRICAL_VALIDATION_OPTIONAL_NOT_RUN
PLA,16,0.15,1.0,0.88,99.4,0.0,VIRTUAL_SCREENING_EMPIRICAL_VALIDATION_OPTIONAL_NOT_RUN
PLA,16,0.16,1.2136,0.8672,98.0,-1.46,VIRTUAL_SCREENING_EMPIRICAL_VALIDATION_OPTIONAL_NOT_RUN
PET,18,0.14,0.813,0.8731,99.0,1.52,VIRTUAL_SCREENING_EMPIRICAL_VALIDATION_OPTIONAL_NOT_RUN
PET,18,0.15,1.0,0.86,97.5,0.0,VIRTUAL_SCREENING_EMPIRICAL_VALIDATION_OPTIONAL_NOT_RUN
PET,18,0.16,1.2136,0.845,95.8,-1.74,VIRTUAL_SCREENING_EMPIRICAL_VALIDATION_OPTIONAL_NOT_RUN
