material_id,variant,mean_delivered_g_h,max_continuous_starvation_s,max_bridge_clear_cycles,max_torque_nm,max_current_a,inventory_min_g,inventory_max_g,overfeed_samples,status
PLA_SUPPORT,0,100.00638605233713,0.0,0,0.9293482142857142,2.0326092857142855,19.999806054370236,20.01164256160107,0,PASS
PLA_SUPPORT,1,95.89778621094929,1.0,2,1.1019200892857144,2.294918535714286,19.997059583844845,20.137716364160635,0,PASS
PLA_SUPPORT,2,95.8909552995966,1.0,2,1.1815571428571432,2.4159668571428576,19.98819451891807,20.13204452183141,0,PASS
PLA_SUPPORT,3,95.88464476170603,1.0,2,1.2611941964285716,2.537015178571429,19.979829480730977,20.13442449782104,0,PASS
PLA_SUPPORT,4,95.88757189376805,1.0,2,1.3408312500000006,2.658063500000001,19.98011420075971,20.140509226617702,0,PASS
PLA_SPAGHETTI,0,95.87405398723641,1.0,2,1.0230090382819794,2.174973738188609,19.9999756898013,20.14622418810806,0,PASS
PLA_SPAGHETTI,1,95.87363839680944,1.0,2,1.1076384010270774,2.3036103695611576,19.997071469488795,20.143565450289376,0,PASS
PLA_SPAGHETTI,2,95.86923889608923,1.0,2,1.1922677637721757,2.432247000933707,19.988193774437274,20.132870480611153,0,PASS
PLA_SPAGHETTI,3,95.86526836472032,1.0,2,1.2768971265172735,2.560883632306256,19.979823354557112,20.135070377720563,0,PASS
PLA_SPAGHETTI,4,95.86702763735478,1.0,2,1.361526489262372,2.6895202636788054,19.980108782394346,20.14118535062243,0,PASS
PLA_THIN_WALL,0,100.00360962205819,0.0,0,0.9580468347338934,2.076231188795518,19.999890441740305,20.011646496669965,0,PASS
PLA_THIN_WALL,1,95.86961735118777,1.0,2,1.1395456470588234,2.352109383529412,19.99707324389171,20.14056814497312,0,PASS
PLA_THIN_WALL,2,95.8656137012748,1.0,2,1.225239775910364,2.4823644593837533,19.98819366320072,20.13288924177543,0,PASS
PLA_THIN_WALL,3,95.86197716433121,1.0,2,1.3109339047619044,2.6126195352380948,19.979822434468623,20.135180084400243,0,PASS
PLA_THIN_WALL,4,95.86353777977502,1.0,2,1.396628033613446,2.742874611092438,19.98010796568796,20.14130036421179,0,PASS
PLA_DENSE_FLAKE,0,105.62718774296505,0.0,0,0.9281038461538462,2.030717846153846,19.813577161255846,20.003525295011613,0,PASS
PLA_DENSE_FLAKE,1,106.38052454883531,0.0,0,0.9996096153846156,2.139406615384616,19.784849246356057,20.005461622262143,0,PASS
PLA_DENSE_FLAKE,2,102.62017771484484,1.0,2,1.1782269230769233,2.4109049230769233,19.882460388584008,20.002191232616788,0,PASS
PLA_DENSE_FLAKE,3,103.24336741295015,1.0,2,1.2568832692307692,2.530462569230769,19.853734392041293,19.999668841020476,0,PASS
PLA_DENSE_FLAKE,4,103.81793144506779,1.0,2,1.3355396153846155,2.6500202153846155,19.836054349648762,19.998160068441752,0,PASS
PET_FLAT_FLAKE,0,100.00602001060673,0.0,0,0.9358599999999999,2.0425071999999997,19.999817185848627,20.011643083926558,0,PASS
PET_FLAT_FLAKE,1,95.89366343569631,1.0,2,1.1166063333333338,2.3172416266666676,19.997061572171454,20.137847131223815,0,PASS
PET_FLAT_FLAKE,2,95.8871018574617,1.0,2,1.203766666666667,2.449725333333334,19.988194382953214,20.132172969902555,0,PASS
PET_FLAT_FLAKE,3,95.88104331328239,1.0,2,1.290927,2.58220904,19.97982827134334,20.13454454610187,0,PASS
PET_FLAT_FLAKE,4,95.88366221377512,1.0,2,1.3780873333333337,2.7146927466666675,19.980113049927855,20.140637709408082,0,PASS
PET_FOLDED_FLAKE,0,100.00479545143936,0.0,0,0.9583972578505086,2.076763831932773,19.99985441206418,20.011644823490887,0,PASS
PET_FOLDED_FLAKE,1,95.88159892910427,1.0,2,1.1401152631578948,2.3529752,19.997067531071103,20.140192008955935,0,PASS
PET_FOLDED_FLAKE,2,95.87627747699177,1.0,2,1.22599354268023,2.4835101848739494,19.988194014251288,20.132533782584908,0,PASS
PET_FOLDED_FLAKE,3,95.87144477764286,1.0,2,1.3118718222025654,2.6140451697478992,19.97982527649694,20.13486449728984,0,PASS
PET_FOLDED_FLAKE,4,95.87351654226259,1.0,2,1.397750101724901,2.7445801546218496,19.9801104352198,20.140971710773602,0,PASS
PET_LONG_ASPECT,0,100.00358259753192,0.0,0,0.9767819548872176,2.1047085714285707,19.999891262621865,20.011646534671822,0,PASS
PET_LONG_ASPECT,1,95.8695058933682,1.0,2,1.1591518796992482,2.381910857142857,19.997073393216187,20.142656055242455,0,PASS
PET_LONG_ASPECT,2,95.86551273563859,1.0,2,1.2438436090225562,2.5106422857142854,19.988193652804068,20.132982690910964,0,PASS
PET_LONG_ASPECT,3,95.86188953218038,1.0,2,1.328535338345865,2.639373714285715,19.979822339968834,20.13518300547188,0,PASS
PET_LONG_ASPECT,4,95.86338829198256,1.0,2,1.4132270676691736,2.768105142857144,19.980107874373584,20.141305199303915,0,PASS
PET_LOW_BULK,0,100.00306674919135,0.0,0,0.9264805555555553,2.0282504444444442,19.999906929873156,20.011647258960785,0,PASS
PET_LOW_BULK,1,100.00230636220356,0.0,0,1.0017680555555555,2.1426874444444444,19.997013245296685,20.011651723084718,0,PASS
PET_LOW_BULK,2,95.86041984686854,1.0,2,1.1847611111111114,2.420836888888889,19.98819350325222,20.133062370255697,0,PASS
PET_LOW_BULK,3,95.85737257960155,1.0,2,1.267577361111111,2.546717588888889,19.97982113770846,20.13533357055787,0,PASS
PET_LOW_BULK,4,95.85870060599798,1.0,2,1.3503936111111114,2.6725982888888895,19.980106838314637,20.14145978471796,0,PASS
