part_id,stock,cut_length_mm,quantity,end_condition,length_tolerance_mm,source,release_state,cad_object,profile_type,axis,section_orientation,mounting_reference,reuse_state
FRM-FrameX910_680,20x20 aluminum profile,430.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameX910_680,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameX910_680,2020,X,20x20,FrameColumn0_680;FrameColumn450_680;FrameY910_0;FrameY910_450,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameY0_0,20x20 aluminum profile,660.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameY0_0,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameY0_0,2020,Y,20x20,FrameColumn0_0;FrameColumn0_680;FrameX0_0;FrameX0_680;FrameBottomCross405;FrameBottomCross440;FrameBottomCross608;FrameBottomSteelTie,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameY0_450,20x20 aluminum profile,660.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameY0_450,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameY0_450,2020,Y,20x20,FrameColumn450_0;FrameColumn450_680;FrameX0_0;FrameX0_680;FrameBottomCross405;FrameBottomCross440;FrameBottomCross608;FrameTraversePostLeft;FrameTraversePostRight;FrameBottomSteelTie,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameY910_0,20x20 aluminum profile,660.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameY910_0,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameY910_0,2020,Y,20x20,FrameColumn0_0;FrameColumn0_680;FrameX910_0;FrameX910_680;GGM_FeederTopRail,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-FrameY910_450,20x20 aluminum profile,660.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#FrameY910_450,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,FrameY910_450,2020,Y,20x20,FrameColumn450_0;FrameColumn450_680;FrameX910_0;FrameX910_680;GGM_FeederTopRail,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-GGM_ExMotorRail,20x20 aluminum profile,430.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#GGM_ExMotorRail,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,GGM_ExMotorRail,2020,X,20x20,FrameTierY320_0;FrameTierY320_450;FrameSpoolColumnFront;GGM_EX_Mount;GGM_M5_EX_MountL;GGM_M5_EX_MountR;SpoolTopSegment421;SpoolTopSegment497,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-GGM_FeederHanger,20x20 aluminum profile,124.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#GGM_FeederHanger,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,GGM_FeederHanger,2020,Z,20x20,FeederDriveMount;GGM_FeederTopRail,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-GGM_FeederTopRail,20x20 aluminum profile,430.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#GGM_FeederTopRail,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,GGM_FeederTopRail,2020,X,20x20,FrameY910_0;FrameY910_450;GGM_FeederHanger,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-GGM_HotRearRail,20x20 aluminum profile,430.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#GGM_HotRearRail,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,GGM_HotRearRail,2020,X,20x20,FrameTierY320_0;FrameTierY320_450;HotShield;ExtruderRearFixedDatum;HotMountBoltRearFront;HotMountBoltRearRear;SpoolTopSegment369,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-GGM_SH_Post_238_253,20x20 aluminum profile,180.000,1,square/square; deburr; inspect assembled datum with metal shims; M5 end tap per GGM R2; verify extrusion core and thread engagement,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#GGM_SH_Post_238_253,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,GGM_SH_Post_238_253,2020,Z,20x20,GGM_SH_Base;GGM_SH_BearingPlate273,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-GGM_SH_Post_238_313,20x20 aluminum profile,180.000,1,square/square; deburr; inspect assembled datum with metal shims; M5 end tap per GGM R2; verify extrusion core and thread engagement,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#GGM_SH_Post_238_313,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,GGM_SH_Post_238_313,2020,Z,20x20,GGM_SH_Base;GGM_SH_BearingPlate303,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-GGM_SH_Post_45_253,20x20 aluminum profile,180.000,1,square/square; deburr; inspect assembled datum with metal shims; M5 end tap per GGM R2; verify extrusion core and thread engagement,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#GGM_SH_Post_45_253,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,GGM_SH_Post_45_253,2020,Z,20x20,GGM_SH_Base;GGM_SH_BearingPlate273,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-GGM_SH_Post_45_313,20x20 aluminum profile,180.000,1,square/square; deburr; inspect assembled datum with metal shims; M5 end tap per GGM R2; verify extrusion core and thread engagement,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#GGM_SH_Post_45_313,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,GGM_SH_Post_45_313,2020,Z,20x20,GGM_SH_Base;GGM_SH_BearingPlate303,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-GGM_ShredRail,20x40 aluminum profile,430.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#GGM_ShredRail,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,GGM_ShredRail,2040,X,40 mm side vertical,FrameTierY500_0;FrameTierY500_450;GGM_SH_Spacer_90_100;GGM_SH_Spacer_220_100,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-GGM_ThrustPost274_5,20x20 aluminum profile,100.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#GGM_ThrustPost274_5,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,GGM_ThrustPost274_5,2020,Z,20x20,ThrustPlate;GGM_ThrustRail,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-GGM_ThrustPost345_5,20x20 aluminum profile,100.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#GGM_ThrustPost345_5,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,GGM_ThrustPost345_5,2020,Z,20x20,ThrustPlate;GGM_ThrustRail,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-GGM_ThrustRail,20x20 aluminum profile,430.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#GGM_ThrustRail,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,GGM_ThrustRail,2020,X,20x20,FrameTierY320_0;FrameTierY320_450;ThrustPlate;GGM_ThrustPost274_5;GGM_ThrustPost345_5;SpoolTopSegment369;SpoolTopSegment421,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-MidRail320,20x20 aluminum profile,430.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#MidRail320,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,MidRail320,2020,X,20x20,FrameTierY320_0;FrameTierY320_450;HotShield;ExtruderFrontSlidingGuide;HotMountBoltFrontFront;HotMountBoltFrontRear,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-MidRail500,20x40 aluminum profile,430.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#MidRail500,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,MidRail500,2040,X,40 mm side vertical,FrameTierY500_0;FrameTierY500_450;GGM_SH_Spacer_90_280;GGM_SH_Spacer_220_280,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-SpoolTopSegment369,20x20 aluminum profile,32.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#SpoolTopSegment369,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,SpoolTopSegment369,2020,Y,20x20,GGM_HotRearRail;GGM_ThrustRail,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-SpoolTopSegment421,20x20 aluminum profile,56.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#SpoolTopSegment421,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,SpoolTopSegment421,2020,Y,20x20,GGM_ThrustRail;GGM_ExMotorRail,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
FRM-SpoolTopSegment497,20x20 aluminum profile,111.000,1,square/square; deburr; inspect assembled datum with metal shims,+/-0.5,exports/final/drive_ggm_v08/GGM-FULL-ASM.FCStd#SpoolTopSegment497,MEASURE_STOCK_NESTING_AND_P2_APPROVAL_REQUIRED,SpoolTopSegment497,2020,Y,20x20,FrameSpoolColumnRear;GGM_ExMotorRail,STOCK_BAR_ID_ALLOCATION_REQUIRED_NO_DOUBLE_COUNTING
