part_id,X_mm,Y_mm,Z_mm,solid_count,volume_mm3,status
EX-THRUST,39.0,60.0,70.0,1,124455.3400693438,CUSTOM_DFM_HOLD
EX-DIE,20.000000200000002,36.0000002,36.0000002,1,18366.047174141546,CUSTOM_DFM_HOLD
EX-H100,40.0,40.0,40.0,1,21991.148575128547,HEATER_QUOTE_AND_DRAWING_HOLD
EX-H60,6.0,20.0,6.0,1,565.4866776461628,HEATER_QUOTE_AND_DRAWING_HOLD
COOL-TRAY,275.0,80.0,30.0,1,74800.00000000003,CUSTOM_DFM_HOLD
COOL-FAN,80.0,38.0,80.0,1,94541.40642845775,DATASHEET_BODY_HOLE_PATTERN_VERIFY
SPOOL-ENV,70.0,200.0,200.0,1,128158.13071054209,SPOOL_INTERFACE_ONLY
PULL-ROLLER,20.0,22.0,20.0,1,6479.534848028949,CUSTOM_DFM_HOLD
HOPPER,236.25828452925944,162.20000020000003,55.49724835291602,1,98515.06425225586,CUSTOM_DFM_HOLD
HOP-LID,180.0,140.0,5.0,1,126000.0,CUSTOM_DFM_HOLD
FR-2020-320,320.0,20.0,20.0,1,46080.0,OWNED_SLOT_PATTERN_TO_MEASURE
S1-TIE-TUBE,12.0,175.0,12.0,1,13804.943518036947,CUSTOM_DFM_HOLD
S1-STUD,6.0,270.0,6.0,1,7634.070148223197,FASTENER_RATING_VERIFY
S1-ROOF-F,30.0,95.0,25.0,1,31808.73887626889,CUSTOM_DFM_HOLD
S1-ROOF-R,30.0,48.0,25.0,1,17850.46566594737,CUSTOM_DFM_HOLD
DRV-DECK,240.0,194.0,5.0,1,231773.64168007227,CUSTOM_DFM_HOLD
DRV-M1-FOOT,70.0,30.0,19.0,1,17238.91334405777,CUSTOM_DFM_HOLD
DRV-RISER12,34.0,12.0,10.0,1,4080.0,CUSTOM_DFM_HOLD
DRV-RISER20,70.0,18.0,2.5,1,3150.0,CUSTOM_DFM_HOLD
S2-LEG-L,50.0,50.0,185.0,1,99962.0655680674,CUSTOM_DFM_HOLD
S2-LEG-R,50.0,50.0,190.0,1,102362.06556806741,CUSTOM_DFM_HOLD
EX-STAND,88.0,70.0,79.0,1,113644.13113613479,CUSTOM_DFM_HOLD
KEY-8-154,8.0,154.0,7.0,1,8624.000000000002,CUSTOM_DFM_HOLD
KEY-8-25,8.0,25.0,7.0,1,1399.9999999999998,CUSTOM_DFM_HOLD
KEY-8-16,8.0,16.0,7.0,1,896.0000000000001,CUSTOM_DFM_HOLD
KEY-4-70,4.0,70.0,4.0,1,1120.0,CUSTOM_DFM_HOLD
KEY-4-78,4.0,78.0,4.0,1,1247.9999999999998,CUSTOM_DFM_HOLD
KEY-4-16,4.0,16.0,4.0,1,255.99999999999994,CUSTOM_DFM_HOLD
KEY-6-70,6.0,70.0,6.0,1,2520.0,CUSTOM_DFM_HOLD
KEY-6-16,6.0,16.0,6.0,1,576.0,CUSTOM_DFM_HOLD
