average_power_w,classification,control_margin_m_s,controlled_stop_seen,cooldown_max_temperature_c,cooldown_seen,cooling_feedback_min_a,cooling_residence_s,diameter_error_mm,drive_tripped,fault_detected,fault_reason,feeder_enabled,final_material_session,final_net_flow_gph,final_normal_flow_gph,final_process_state,final_screw_rpm,final_state,forming_chain_state_final,fuse_blown,fuse_broken,hard_stop_engaged,inertia_kg_m2,jam_detected,jam_fault,line_velocity_m_s,mass_flow_gph,max_settled_diameter_error_mm,max_temperature_c,maximum_absolute_diameter_error_mm,min_duty,minimum_reserve_w,normal_after_confirm_s,out_of_tolerance_duration_s,overlap_blocked,overshoot_percent,peak_bearing_load_n,peak_bus_power_w,peak_chain_force_n,peak_coolingPower_w,peak_cutter_rpm,peak_cutter_torque_nm,peak_dancer_angle_rad,peak_driverLossPower_w,peak_electronicsPower_w,peak_feederPower_w,peak_hard_stop_reaction_nm,peak_heaterPower_w,peak_length_imbalance_m,peak_line_tension_n,peak_motor_current_a,peak_motor_torque_nm,peak_net_flow_gph,peak_ovality_mm,peak_phase_error_rad,peak_phase_torque_nm,peak_power_w,peak_pressure_mpa,peak_process_heater_w,peak_pullerPower_w,peak_raw_pressure_mpa,peak_relief_flow_gph,peak_screwDrivePower_w,peak_screw_current_a,peak_screw_rpm,peak_screw_torque_nm,peak_shredderMotorPower_w,peak_spool_speed_rad_s,peak_spoolerPower_w,peak_traversePower_w,pending_material_activated,power_budget_safe,predicted_diameter_mm,protection_mechanism,psu_current_a,puller_enabled,puller_entry_mean_c,puller_entry_surface_c,purge_complete,purge_elapsed_s,purge_screw_revolutions,radius_m,ready,ready_to_rethread_s,recovery_time_s,relief_state,remaining_ampere_margin,remaining_watt_margin,requal_entry_s,requalification_entry_to_ready_s,response_latency_s,retry_count,retry_state,rise_time_s,rundown_requested,safe_pause,safe_state,samples,scenario,settling_time_s,spool_eligible_before_rethread,spool_eligible_during_fault,spool_eligible_during_invalid,spooler_enabled,startup_grace_seen,states_seen,status,steady_rpm,steady_state_error_percent,tach_qualified,traverse_enabled,virtual_diameter_pass,warning_seen,waste_mode_continuous,waste_mode_seen
,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,,,,,0.0,,,,,0.0,676.8083951335564,,334.8545368608543,,24.48103028539401,12.21884205005257,,,,,,,,,6.066438646297206,,,,0.005242534673136845,8.706984391610096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2.85,,,,2172,PETNominal,2.85,,,,,,,PASS,23.174,3.442,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,,,,,0.0,,,,,0.0,595.8606737925204,,294.5605421804772,,37.6536753160263,10.74851418416561,,,,,,,,,6.290148944163464,,,,0.004837994453442462,7.709084047256188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2.54,,,,2080,SingleHookImpact,2.54,,,,,,,PASS,31.117,2.759,,,,,,
,,,,,,,,,,,,,,,,,,,,,1,,,0,1,,,,,,0.0,,,,,0.0,1218.080290542542,,602.7336257714462,,32.93203360648081,21.99375000440007,,,,,,,,,9.212453048096107,,,,0.008081902914188976,15.66947487953279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,18.0,,,,1908,MultiHookEngagement,18.0,,,,,,,PASS,-0.0,100.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,,,,,-0.1199999859449143,,,,,0.0,913.8921254344585,,557.7145480438221,,25.97046349077345,20.35100385811907,,,,,,,,,10.2000489624183,,,,0.001221594863498154,0.3960050168804992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,18.0,,,,2006,OneShaftJam,18.0,,,,,,,PASS,-0.157,100.492,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,,,,,-0.1199999859962276,,,,,0.0,992.38415168866,,520.7186363169003,,26.53283248960954,19.00102303920369,,,,,,,,,9.775596707356014,,,,0.005571363260894496,9.50051151951051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,18.0,,,,2018,FullJam,18.0,,,,,,,PASS,0.028,99.914,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,1,0,,,,,,-0.1199999859380329,,,,,0.0,992.3841447867567,,520.7186303436343,,38.13187722520781,19.00102282123922,,,,,,,,,9.775177335240572,,,,0.005571363260894496,9.500511458276662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7.57,,,,2124,ReverseClear,7.57,,,,,,,PASS,30.559,4.504,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,,,,,-0.1199999859962276,,,,,0.0,992.38415168866,,520.7186363169003,,26.53283248960954,19.00102303920369,,,,,,,,,9.775596707356014,,,,0.005571363260894496,9.50051151951051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,18.0,,,,2018,RetryFailure,18.0,,,,,,,PASS,0.028,99.914,,,,,,
,,,,,,,,,,,,,,,,,,,,,1,,,0,1,,,,,,0.0,,,,,0.0,1856.544175556756,,602.7336257714106,,0.170259426556477,21.99375000439878,,,,,,,,,7.914462133939943,,,,0.002901532224356359,3.09348360790813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,18.0,,,,1828,MechanicalFuseTrip,18.0,,,,,,,PASS,-0.0,100.0,,,,,,
,SENSITIVITY_ONLY,,,,,,,,,,,,,,,,,,,,1,,,0,1,,,,,,0.0,,,,,0.0,1409.760163990365,,602.7336257714111,,15.30085782193804,21.99375000439879,,,,,,,,,8.403712809590905,,,,0.004854211182331911,7.739404253765436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,18.0,,,,1826,ChainBacklashReverse,18.0,,,,,,,PASS,-0.0,100.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,,,,,0.0,,,,,0.0,676.5470394206939,,334.3105654838229,,30.90416661337462,12.1989925345047,,,,,,,,,6.750276474453496,,,,0.005234529936203436,8.698690253437311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,18.0,,,,1874,EmergencyStop,18.0,,,,,,,PASS,-0.0,100.0,,,,,,
,,,,,,,,,0,,,,,,97.95520434636668,,,,,0,,,,,,,,,202.1105820695929,,,,,,,,,,,,,,,,,,,,,,,,97.95520434636668,,,,,3.621526901375504,360.0,,3.621526901375504,0.0,,7.088443306650223,15.05882483149337,10.63266495997533,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1804,ExtruderWarmupPLA,,,,,,,,PASS,,,,,,,,
,,,,,,,,,0,,,,,,110.197901927855,,,,,0,,,,,,,,,266.2969617974829,,,,,,,,,,,,,,,,,,,,,,,,110.1979054164316,,,,,4.135194056356224,360.0,,4.135194056356224,0.0,,7.951125788575323,16.94117946189967,11.92668868286299,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1804,ExtruderWarmupPET,,,,,,,,PASS,,,,,,,,
,,,,,,,,,0,,,,,,97.95520434636668,,,,,0,,,,,,,,,202.1105820695929,,,,,,,,,,,,,,,,,,,,,,,,97.95520434636668,,,,,3.621526901375504,360.0,,3.621526901375504,0.0,,7.088443306650223,15.05882483149337,10.63266495997533,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1804,ExtruderNominalPLA,,,,,,,,PASS,,,,,,,,
,,,,,,,,,0,,,,,,96.98687282376999,,,,,0,,,,,,,,,266.2975017264281,,,,,,,,,,,,,,,,,,,,,,,,96.98687568343797,,,,,3.591089575256546,360.0,,3.591089575256546,0.0,,7.044284986742573,16.94117946189885,10.56642748011386,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1804,ExtruderNominalPET,,,,,,,,PASS,,,,,,,,
,DIGITAL_STRETCH_TARGET,,,,,,,,1,,,,,,0.0,,,,,0,,,,,,,,,200.8828358463163,,,,,,,,,,,,,,,,,,,,,,,,114.373538647206,,,,,4.32000000096852,360.0,,4.320000000968528,86.40000001937057,,9.02809615884118,13.17299536246634,13.54214423826177,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,1810,ExtruderHighFlow,,,,,,,,PASS,,,,,,,,
,,,,,,,,,0,,,,,,0.0,,,,,0,,,,,,,,,264.7327843770092,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,260.0,,0.0,0.0,,1.0,0.0,1.5,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,1802,HeaterOpen,,,,,,,,PASS,,,,,,,,
,,,,,,,,,0,,,,,,0.0,,,,,0,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.5,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,502,SensorOpen,,,,,,,,PASS,,,,,,,,
,,,,,,,,,0,,,,,,3.062629261204311e-08,,,,,0,,,,,,,,,217.5281798575553,,,,,,,,,,,,,,,,,,,,,,,,97.72838278276127,,,,,3.621526822664637,360.0,,3.621526822664637,0.0,,7.088443193744823,15.05882450420237,10.63266479061723,,,,,,,,SUB_300C_STABLE_EQUILIBRIUM,,,,,,,,,1,,,1,,,,,,,,,,,,3606,MOSFETStuckOn,,,,,,,,PASS,,,,,,,,
,,,,,,,,,1,,,,,,0.0,,,,,0,,,,,,,,,202.1106699688677,,,,,,,,,,,,,,,,,,,,,,,,97.95520434636352,,,,,4.320000000865684,360.0,,4.320000000865684,72.43053176470583,,8.25256521185581,15.05882483149337,12.37884781778371,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,2412,HotExtrusionJamPLA,,,,,,,,PASS,,,,,,,,
,,,,,,,,,1,,,,,,0.0,,,,,0,,,,,,,,,266.2975619247241,,,,,,,,,,,,,,,,,,,,,,,,96.98687568343797,,,,,4.320000000864271,360.0,,4.320000000864271,71.82177882352937,,8.25913586315508,16.94117946189885,12.38870379473262,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,2412,HotExtrusionJamPET,,,,,,,,PASS,,,,,,,,
,,,,,,,,,0,,,,,,0.0,,,,,0,,,,,,,,,279.6101481858562,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,360.0,,0.0,0.0,,1.0,0.0,1.5,,,,,,,,SUB_300C_STABLE_EQUILIBRIUM,,,,,,,,,1,,,1,,,,,,,,,,,,3606,ThermalFuseLongDuration,,,,,,,,PASS,,,,,,,,
