symbol,mega_pin,wire_id,source,revision
SHREDDER_FAULT_PIN,A8,SIG-A8,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SCREW_FAULT_PIN,A9,SIG-A9,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
PULLER_FAULT_PIN,A10,SIG-A10,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SPOOLER_FAULT_PIN,A11,SIG-A11,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
GAUGE_VALID_PIN,A12,SIG-A12,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
COOLING_CURRENT_PIN,A4,SIG-A4,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
TRAVERSE_LEFT_LIMIT_PIN,A5,SIG-A5,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
TRAVERSE_RIGHT_LIMIT_PIN,A6,SIG-A6,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
FEEDER_TACH_PIN,A7,SIG-A7,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SCREW_TACH_PIN,A13,SIG-A13,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
FAN_TACH_MUX_PIN,A14,SIG-A14,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
SPOOLER_TACH_PIN,A15,SIG-A15,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
HEATER_PINS_1,10,SIG-10,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
HEATER_PINS_2,11,SIG-11,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
HEATER_PINS_3,12,SIG-12,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
HEATER_PINS_4,13,SIG-13,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
THERMOCOUPLE_CS_PINS_1,14,SIG-14,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
THERMOCOUPLE_CS_PINS_2,15,SIG-15,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
THERMOCOUPLE_CS_PINS_3,16,SIG-16,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
THERMOCOUPLE_CS_PINS_4,17,SIG-17,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
THERMOCOUPLE_CS_PINS_5,48,SIG-48,firmware/arduino_mega/src/board_config.h,f352a81ff212f6e4bb34dcf0fd98b4f4503bb517
