candidate_id,tip_mm,width_mm,eccentric_mm,gap_mm,hook_depth_mm,hooks,ratio_denominator,orbit_rpm,screen_hole_mm,screen_thickness_mm,screen_arc_deg,rising_fraction,shear_ratio,chamber_mm,min_eccentric_sleeve_od_mm,root_web_mm,pin_pitch_radius_screen_mm,pin_plate_od_screen_mm,compact_pin_family_possible,compact_pin_limit_mm,kinematic_geometry_feasible,mechanism_status,bearing_status,reject_reasons,sampled_gap_mm
C2-147,105.8866493656265,40.535626455954116,10.108245440413361,0.3416149938452898,11.43379781965034,9,8,75.77071400173791,4.063281409400021,2.958581595073804,123.62653818628345,0.7756534793344927,3.0,126.7863702341438,38.216490880826726,7.509526863162904,100.07162986009229,226.14325972018457,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.3416209033119202
C2-148,97.14649466439845,42.03837215986194,11.201074151020183,0.9111630616779594,13.52625519810963,7,13,105.74429363833687,3.967037016694287,2.8652127286061666,80.67546698086119,0.6740292964609909,3.0,121.37096908979473,40.402148302040366,-2.4530078659104078,172.49654192571083,370.99308385142166,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE|ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-149,100.206911351034,39.88591941035184,8.20013276946385,0.8936096957152322,9.95683226149652,9,7,158.45789383160633,3.1258994906398465,2.015620786277889,89.61093428191218,0.6330566398508344,5.333333333333333,118.39439628139216,34.4002655389277,9.146623414020475,72.16116837128189,170.32233674256378,True,178,False,PROFILE_CONTACT_CHECK_REQUIRED,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-150,92.69410213872062,36.111854891951886,9.858514811536173,1.1960641835194898,11.674289396948435,9,13,164.45626560785988,5.286404999213978,3.580692151282648,105.49551542368641,0.6828524602578606,5.333333333333333,114.80326012883195,37.71702962307235,0.6727616724118803,151.8211280976571,329.6422561953142,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE|ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-151,103.48658120225616,40.97691909007187,7.238347892693491,1.1637465453525846,9.388065204745017,6,14,80.99211898492489,3.8446179258287256,2.6068097910724006,122.90754604302327,0.7141034182623623,4.0,120.29077007834832,32.47669578538698,11.355225396383062,119.4327402294426,264.8654804588852,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-152,108.93324679132216,42.21240086601808,12.629637547422425,0.34601012686326404,8.912022689087067,8,14,118.64497157647219,5.084614953307477,3.0069077742497847,97.80020477659036,0.7064362874533751,4.0,134.88454213989354,43.25927509484485,8.054600706574014,208.38901953247,442.77803906494,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.3462049533207221
C2-153,112.40681323041017,38.43112800943312,8.032402739861432,0.38012409682398507,10.246837038933183,9,13,95.5520941958934,4.734103376763244,2.2125251618900226,89.07344138448055,0.6420611059148333,5.333333333333333,129.231866903781,34.064805479722864,14.956569576271903,123.69900219386608,273.39800438773216,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.38013215914847365
C2-154,94.55894614060509,40.721459845704814,10.164049128828534,1.059275347102268,11.724067658169194,10,9,173.2591966367938,5.076674037558565,2.8085674696403147,114.3164021755048,0.7189737382892226,4.0,117.00559509246669,38.32809825765707,1.5554054121333536,111.80454041711388,249.60908083422777,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE|ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-155,99.10337022720759,43.813111263685066,8.588420421856982,0.9734006512690052,13.314319625301827,8,10,103.58688198377271,4.053688834049645,2.4112327935768954,95.22923546656637,0.7436512526107576,3.0,118.22701237345956,35.17684084371396,2.2373654883019682,103.9198871044695,233.839774208939,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE|ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-156,103.88214306636576,39.035009947885,11.707636202333628,0.5544095730567284,13.595422997927425,6,13,159.12066140870775,5.398579930197262,3.796887176446521,80.8250560975566,0.7710043098020908,3.0,128.40623461714648,41.415272404667256,0.8456485352554495,180.2975975159379,386.5951950318758,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
