object_id,category,container_type,expected_solids,solid_count,volume_mm3,bbox_x_mm,bbox_y_mm,bbox_z_mm,status,errors
PPR-C07_PullerGuard,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,66623.308,110.0,100.0,65.0,PASS,
GuideRoller,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,17198.335,36.0,20.0,36.0,PASS,
GuideRollerAxle,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,589.049,5.0,30.0,5.0,PASS,
GuideBearingFront,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,907.135,16.0,5.0,16.0,PASS,
GuideBearingRear,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,907.135,16.0,5.0,16.0,PASS,
PPR-C08_GuideBracketFront,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,32656.231,60.0,45.0,70.0,PASS,
PPR-C08_GuideBracketRear,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,32656.231,60.0,45.0,70.0,PASS,
DancerArm,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,12886.609,122.0,8.0,24.0,PASS,
DancerSupportPlate,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,22237.386,36.0,8.0,80.0,PASS,
DancerSupportPost,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,20000.0,20.0,20.0,50.0,PASS,
DancerPivotAxle,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,804.248,8.0,16.0,8.0,PASS,
DancerEndRoller,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,5226.982,20.0,20.0,20.0,PASS,
DancerEndAxle,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,1809.557,8.0,36.0,8.0,PASS,
Spool,ASSEMBLY_PURCHASED_REFERENCE_ENVELOPE,Solid,1,1,2293362.637,200.0,73.0,200.0,PASS,
SpoolCore,ASSEMBLY_PURCHASED_REFERENCE_LOD,Solid,1,1,155031.314,52.0,73.0,52.0,PASS,
SpoolSpindle,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,16172.919,12.0,143.0,12.0,PASS,
SpoolBearingPlateFront,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,27664.351,105.0,5.0,60.0,PASS,
SpoolBearingPlateRear,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,27664.351,105.0,5.0,60.0,PASS,
SpoolBearingFront,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,3990.828,28.0,8.0,28.0,PASS,
SpoolBearingRear,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,3990.828,28.0,8.0,28.0,PASS,
PPR-C09_SpoolAdapterFront,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,24324.594,70.0,35.0,70.0,PASS,
PPR-C09_SpoolAdapterRear,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,24324.594,70.0,35.0,70.0,PASS,
TraverseRodA,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,8042.477,160.0,8.0,8.0,PASS,
TraverseRodB,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,8042.477,160.0,8.0,8.0,PASS,
TraverseEndPlateLeft,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,9234.315,5.0,50.0,40.0,PASS,
TraverseEndPlateRight,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,9234.315,5.0,50.0,40.0,PASS,
PPR-C10_TraverseCarriage,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,71902.833,90.0,55.0,24.0,PASS,
SpoolMotorMount,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,28130.861,101.0,6.0,52.0,PASS,
SpoolMotorEnvelope,ASSEMBLY_UNVERIFIED_DONOR_ENVELOPE,Solid,1,1,84672.0,42.0,48.0,42.0,PASS,
ControlPanel,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,121832.0,190.0,35.0,190.0,PASS,
PPR-C11_ControlBezel,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,49630.08,180.0,8.0,120.0,PASS,
PSU,ASSEMBLY_UNVERIFIED_DONOR_ENVELOPE,Solid,1,1,2592000.0,160.0,180.0,90.0,PASS,
CableDuct,ASSEMBLY_PURCHASED_REFERENCE_ENVELOPE,Solid,1,1,243000.0,18.0,18.0,750.0,PASS,
PPR-C12_CableClip0,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,5009.085,38.0,26.0,8.0,PASS,
PPR-C12_CableClip1,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,5009.085,38.0,26.0,8.0,PASS,
PPR-C12_CableClip2,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,5009.085,38.0,26.0,8.0,PASS,
PPR-C12_CableClip3,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,5009.085,38.0,26.0,8.0,PASS,
PPR-C12_CableClip4,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,5009.085,38.0,26.0,8.0,PASS,
PPR-C12_CableClip5,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,5009.085,38.0,26.0,8.0,PASS,
PPR-C12_CableClip6,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,5009.085,38.0,26.0,8.0,PASS,
PPR-C12_CableClip7,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,5009.085,38.0,26.0,8.0,PASS,
KO_ChainMotion,REVIEW_ONLY,Solid,1,1,190080.0,66.0,18.0,160.0,PASS,
KO_DancerSweep,REVIEW_ONLY,Solid,1,1,498570.754,230.0,12.0,230.0,PASS,
KO_TraverseMotion,REVIEW_ONLY,Solid,1,1,224400.0,170.0,55.0,24.0,PASS,
KO_ScrewService,REVIEW_ONLY,Solid,1,1,3092250.0,310.0,95.0,105.0,PASS,
